State,Farms
AL,48500
AK,680
AZ,15500
AR,49300
CA,81700
CO,36100
CT,4900
DE,2480
FL,47500
GA,47400
HI,7500
ID,25700
IL,76000
IN,62000
IA,92400
KS,65500
KY,85700
LA,30000
ME,8100
MD,12800
MA,7700
MI,54900
MN,81000
MS,42400
MO,108000
MT,29400
NE,47200
NV,3100
NH,4150
NJ,10300
NM,21000
NY,36300
NC,52400
ND,31900
OH,74700
OK,86500
OR,38800
PA,63200
RI,1220
SC,27000
SD,31800
TN,78300
TX,247500
UT,16600
VT,7000
VA,47300
WA,39500
WV,23000
WI,78000
WY,11000
